stat,fold,acc,prec,rec,f1,roc_auc
mean,3.0,0.949787234042553,0.9447874597639888,0.9248944923689448,0.9336916835183358,0.992415327110152
std,1.5811388300841898,0.02668024401600335,0.005347908502942346,0.07059402132363472,0.037751895217443814,0.003398479885634344
