stat,fold,acc,prec,rec,f1,roc_auc
mean,3.0,0.9043971631205674,0.9573579436839219,0.7893483742534837,0.8636511972413645,0.9521022714588883
std,1.5811388300841898,0.030116384742332407,0.0032125445229657726,0.07868900520023286,0.048684671182193856,0.01486066986365433
