stat,fold,acc,prec,rec,f1,roc_auc
mean,3.0,0.922836879432624,0.9513866218005835,0.8440451227604513,0.8927002325241679,0.9650288016594514
std,1.5811388300841898,0.039047045947079,0.014367486925469927,0.09449053031620834,0.059260037224781785,0.01612906011256507
